angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"[299, 10, 90, 120]",0.0,0.09,0.0,0.48,0.4,0.0
0.02,"[300, 9, 90, 121]",0.0,0.11,0.0,0.48,0.39,0.0
0.01,"[302, 11, 88, 117]",0.0,0.08,0.0,0.66,0.25,0.0
0.02,"[302, 9, 90, 120]",0.0,0.1,0.0,0.55,0.33,0.0
0.02,"[304, 9, 89, 119]",0.0,0.08,0.0,0.61,0.29,0.0
0.01,"[305, 10, 89, 118]",0.0,0.09,0.0,0.65,0.25,0.0
0.01,"[305, 9, 90, 120]",0.0,0.08,0.0,0.59,0.31,0.0
0.02,"[306, 9, 90, 120]",0.0,0.09,0.0,0.6,0.29,0.0
0.01,"[306, 11, 90, 117]",0.0,0.1,0.0,0.61,0.28,0.0
0.02,"[308, 10, 89, 118]",0.0,0.1,0.0,0.6,0.28,0.0
0.01,"[308, 11, 90, 116]",0.0,0.09,0.0,0.67,0.22,0.0
0.02,"[309, 10, 90, 116]",0.0,0.09,0.0,0.62,0.27,0.0
0.02,"[311, 9, 88, 116]",0.0,0.08,0.0,0.74,0.16,0.0
0.02,"[312, 4, 92, 123]",0.0,0.08,0.0,0.64,0.27,0.0
0.02,"[312, 2, 92, 123]",0.0,0.08,0.0,0.54,0.35,0.0
0.02,"[314, 1, 91, 123]",0.0,0.08,0.0,0.52,0.38,0.0
0.03,"[316, 2, 90, 121]",0.0,0.09,0.0,0.56,0.32,0.0
0.04,"[317, 2, 90, 120]",0.0,0.09,0.0,0.51,0.36,0.0
0.04,"[319, 2, 90, 119]",0.0,0.11,0.0,0.48,0.36,0.0
0.05,"[319, 0, 90, 121]",0.0,0.1,0.0,0.52,0.34,0.0
0.04,"[320, 0, 91, 121]",0.0,0.12,0.0,0.44,0.39,0.0
0.03,"[321, 0, 91, 120]",0.0,0.09,0.0,0.49,0.39,0.0
0.03,"[323, 1, 91, 120]",0.0,0.1,0.0,0.48,0.39,0.0
0.02,"[324, 2, 90, 118]",0.0,0.13,0.0,0.56,0.3,0.0
0.02,"[326, 3, 90, 118]",0.0,0.09,0.01,0.64,0.25,0.0
0.01,"[326, 4, 90, 119]",0.0,0.05,0.01,0.73,0.19,0.0
0.03,"[328, 1, 90, 121]",0.0,0.08,0.01,0.57,0.3,0.0
0.05,"[325, 0, 94, 122]",0.0,0.06,0.0,0.62,0.26,0.0
0.06,"[327, 0, 93, 122]",0.0,0.05,0.0,0.6,0.28,0.0
0.05,"[332, 2, 90, 116]",0.0,0.03,0.01,0.77,0.14,0.0
0.1,"[333, 3, 89, 115]",0.0,0.04,0.01,0.73,0.12,0.0
0.1,"[332, 2, 90, 116]",0.0,0.05,0.02,0.69,0.14,0.0
0.11,"[331, 3, 91, 115]",0.0,0.04,0.01,0.73,0.11,0.0
0.12,"[330, 0, 91, 122]",0.0,0.04,0.0,0.69,0.15,0.0
0.12,"[329, 0, 92, 121]",0.0,0.06,0.01,0.68,0.14,0.0
0.17,"[328, 0, 93, 122]",0.0,0.06,0.01,0.62,0.14,0.0
0.14,"[330, 0, 90, 123]",0.0,0.08,0.0,0.55,0.22,0.0
0.2,"[328, 1, 91, 122]",0.0,0.07,0.01,0.47,0.24,0.0
0.19,"[328, 3, 92, 120]",0.0,0.07,0.0,0.49,0.24,0.0
0.23,"[327, 3, 92, 121]",0.0,0.07,0.0,0.49,0.2,0.0
0.18,"[326, 3, 93, 120]",0.0,0.06,0.01,0.55,0.2,0.0
0.33,"[326, 3, 92, 120]",0.0,0.06,0.01,0.4,0.19,0.0
0.36,"[323, 5, 96, 120]",0.0,0.05,0.01,0.45,0.13,0.0
0.4,"[323, 4, 95, 119]",0.0,0.04,0.02,0.38,0.15,0.0
0.38,"[324, 4, 94, 119]",0.0,0.08,0.01,0.32,0.2,0.0
0.34,"[323, 2, 93, 123]",0.0,0.06,0.01,0.32,0.27,0.0
0.28,"[322, 2, 94, 123]",0.0,0.06,0.01,0.31,0.34,0.0
0.37,"[321, 2, 94, 126]",0.0,0.04,0.01,0.33,0.24,0.0
0.37,"[320, 3, 94, 125]",0.0,0.04,0.01,0.32,0.26,0.0
0.33,"[320, 3, 94, 127]",0.0,0.05,0.01,0.31,0.3,0.0
0.38,"[319, 4, 94, 125]",0.0,0.05,0.01,0.31,0.25,0.0
0.4,"[319, 5, 93, 125]",0.0,0.05,0.01,0.36,0.18,0.0
0.26,"[317, 11, 92, 119]",0.0,0.05,0.01,0.53,0.15,0.0
0.26,"[318, 12, 92, 118]",0.0,0.05,0.01,0.55,0.13,0.0
0.3,"[318, 12, 92, 118]",0.0,0.04,0.02,0.5,0.13,0.0
0.31,"[319, 12, 91, 118]",0.0,0.05,0.02,0.48,0.14,0.0
0.4,"[320, 6, 94, 125]",0.0,0.04,0.01,0.33,0.21,0.0
0.25,"[321, 11, 93, 122]",0.0,0.05,0.02,0.51,0.17,0.0
0.31,"[321, 10, 94, 123]",0.0,0.05,0.02,0.44,0.19,0.0
0.16,"[320, 11, 94, 122]",0.0,0.03,0.01,0.6,0.19,0.0
0.31,"[322, 9, 94, 124]",0.0,0.06,0.01,0.34,0.28,0.0
0.33,"[323, 10, 93, 123]",0.0,0.05,0.01,0.34,0.26,0.0
0.34,"[323, 10, 93, 122]",0.0,0.06,0.01,0.34,0.24,0.0
0.25,"[323, 10, 92, 122]",0.0,0.07,0.01,0.49,0.18,0.0
0.06,"[319, 12, 94, 121]",0.0,0.13,0.01,0.36,0.44,0.0
0.1,"[320, 10, 94, 123]",0.0,0.13,0.01,0.42,0.34,0.0
0.13,"[318, 11, 95, 123]",0.0,0.16,0.0,0.3,0.4,0.0
0.13,"[320, 9, 94, 124]",0.0,0.16,0.01,0.34,0.37,0.0
0.12,"[320, 9, 94, 125]",0.0,0.18,0.01,0.32,0.36,0.01
0.04,"[319, 12, 95, 121]",0.0,0.12,0.01,0.46,0.36,0.0
0.03,"[319, 10, 95, 124]",0.0,0.11,0.01,0.43,0.41,0.0
0.04,"[320, 10, 95, 123]",0.0,0.17,0.01,0.32,0.46,0.0
0.09,"[320, 10, 95, 124]",0.0,0.16,0.01,0.37,0.38,0.0
0.13,"[320, 10, 95, 124]",0.0,0.14,0.01,0.32,0.4,0.0
0.12,"[320, 10, 95, 124]",0.0,0.11,0.01,0.43,0.32,0.0
0.13,"[320, 10, 95, 124]",0.0,0.09,0.01,0.45,0.33,0.0
0.16,"[321, 9, 95, 124]",0.0,0.07,0.02,0.44,0.31,0.0
0.23,"[320, 11, 96, 122]",0.0,0.04,0.01,0.43,0.29,0.0
0.23,"[324, 7, 96, 127]",0.0,0.03,0.01,0.44,0.29,0.0
0.15,"[327, 7, 94, 127]",0.0,0.04,0.01,0.43,0.37,0.0
0.27,"[327, 5, 95, 127]",0.0,0.04,0.01,0.39,0.29,0.0
0.37,"[328, 6, 94, 126]",0.0,0.06,0.01,0.31,0.25,0.0
0.36,"[328, 5, 94, 127]",0.0,0.07,0.01,0.2,0.37,0.0
0.3,"[330, 11, 94, 121]",0.0,0.12,0.0,0.11,0.46,0.0
0.09,"[328, 13, 95, 120]",0.0,0.16,0.0,0.06,0.7,0.0
0.08,"[328, 13, 95, 121]",0.0,0.15,0.0,0.06,0.71,0.0
0.16,"[327, 12, 96, 121]",0.0,0.21,0.0,0.05,0.57,0.01
0.37,"[330, 11, 93, 123]",0.0,0.19,0.0,0.05,0.38,0.01
