angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"[542, 182, 274, 362]",0.0,0.0,0.89,0.0,0.0,0.09
0.04,"[544, 180, 276, 365]",0.0,0.01,0.86,0.0,0.01,0.09
0.01,"[553, 188, 266, 342]",0.0,0.01,0.93,0.0,0.02,0.04
0.05,"[544, 178, 275, 368]",0.0,0.01,0.83,0.0,0.01,0.09
0.04,"[543, 179, 275, 367]",0.0,0.01,0.82,0.0,0.01,0.13
0.07,"[544, 180, 276, 366]",0.0,0.01,0.75,0.0,0.01,0.15
0.07,"[544, 179, 276, 367]",0.0,0.02,0.76,0.0,0.01,0.13
0.02,"[555, 189, 267, 342]",0.0,0.01,0.88,0.0,0.02,0.07
0.01,"[555, 189, 266, 342]",0.0,0.01,0.93,0.0,0.01,0.04
0.03,"[555, 188, 267, 342]",0.0,0.01,0.88,0.0,0.03,0.05
0.01,"[555, 190, 264, 339]",0.0,0.01,0.92,0.0,0.02,0.04
0.01,"[554, 188, 265, 344]",0.0,0.01,0.9,0.0,0.02,0.05
0.02,"[555, 188, 265, 342]",0.0,0.01,0.87,0.0,0.04,0.05
0.04,"[555, 188, 265, 343]",0.0,0.02,0.83,0.0,0.05,0.06
0.24,"[555, 189, 266, 344]",0.0,0.06,0.55,0.01,0.06,0.09
0.43,"[555, 191, 265, 341]",0.0,0.18,0.16,0.01,0.09,0.13
0.7,"[555, 194, 265, 340]",0.01,0.17,0.01,0.01,0.08,0.04
0.62,"[551, 196, 268, 338]",0.01,0.19,0.0,0.02,0.1,0.05
0.42,"[556, 203, 261, 327]",0.01,0.25,0.0,0.08,0.15,0.09
0.14,"[557, 206, 257, 319]",0.02,0.16,0.0,0.43,0.2,0.05
0.01,"[559, 207, 256, 310]",0.0,0.04,0.0,0.76,0.19,0.0
0.01,"[561, 207, 254, 304]",0.0,0.04,0.0,0.7,0.26,0.0
0.02,"[553, 203, 261, 313]",0.0,0.03,0.0,0.73,0.21,0.0
0.02,"[553, 202, 263, 315]",0.0,0.03,0.0,0.75,0.2,0.0
0.04,"[555, 203, 262, 315]",0.0,0.05,0.0,0.53,0.38,0.0
0.05,"[555, 204, 261, 311]",0.0,0.06,0.0,0.56,0.33,0.0
0.09,"[552, 197, 263, 319]",0.0,0.06,0.0,0.53,0.33,0.0
0.09,"[554, 205, 261, 310]",0.0,0.12,0.0,0.43,0.36,0.0
0.09,"[553, 205, 262, 311]",0.0,0.13,0.0,0.4,0.37,0.0
0.11,"[554, 205, 261, 311]",0.0,0.16,0.0,0.38,0.35,0.0
0.1,"[553, 205, 261, 312]",0.0,0.16,0.0,0.38,0.36,0.0
0.13,"[552, 199, 264, 318]",0.0,0.14,0.0,0.41,0.31,0.0
0.11,"[554, 204, 262, 315]",0.0,0.14,0.0,0.43,0.32,0.0
0.23,"[564, 209, 250, 297]",0.0,0.22,0.0,0.14,0.4,0.0
0.1,"[553, 204, 263, 315]",0.0,0.15,0.0,0.4,0.34,0.0
0.1,"[553, 200, 263, 317]",0.0,0.14,0.0,0.51,0.25,0.0
0.11,"[552, 200, 264, 316]",0.0,0.12,0.0,0.49,0.29,0.0
0.13,"[552, 200, 264, 318]",0.0,0.14,0.0,0.42,0.31,0.0
0.12,"[552, 199, 264, 320]",0.0,0.17,0.0,0.44,0.26,0.0
0.1,"[552, 199, 265, 321]",0.0,0.16,0.0,0.49,0.24,0.0
0.12,"[553, 199, 263, 319]",0.0,0.12,0.0,0.48,0.28,0.0
0.11,"[552, 201, 264, 318]",0.0,0.14,0.0,0.48,0.27,0.0
0.1,"[552, 200, 265, 320]",0.0,0.14,0.0,0.48,0.29,0.0
0.09,"[552, 199, 266, 321]",0.0,0.12,0.0,0.51,0.29,0.0
0.06,"[553, 200, 264, 319]",0.0,0.1,0.0,0.51,0.33,0.0
0.06,"[553, 200, 265, 318]",0.0,0.07,0.0,0.56,0.31,0.0
0.03,"[553, 200, 263, 319]",0.0,0.04,0.0,0.65,0.27,0.0
0.01,"[552, 199, 264, 319]",0.0,0.02,0.0,0.76,0.2,0.0
0.01,"[552, 198, 265, 322]",0.0,0.02,0.0,0.75,0.22,0.0
0.01,"[552, 203, 261, 313]",0.0,0.03,0.0,0.68,0.28,0.0
0.01,"[553, 204, 259, 312]",0.0,0.02,0.0,0.76,0.21,0.0
0.01,"[553, 202, 260, 315]",0.0,0.03,0.0,0.72,0.25,0.0
0.01,"[552, 203, 261, 313]",0.0,0.02,0.0,0.69,0.28,0.0
0.01,"[553, 202, 260, 312]",0.0,0.02,0.0,0.71,0.26,0.0
0.02,"[552, 203, 261, 313]",0.0,0.02,0.0,0.68,0.28,0.0
0.02,"[551, 198, 265, 320]",0.0,0.02,0.0,0.76,0.21,0.0
0.01,"[551, 198, 263, 320]",0.0,0.02,0.0,0.78,0.19,0.0
0.02,"[552, 197, 263, 320]",0.0,0.02,0.0,0.72,0.24,0.0
0.02,"[551, 196, 264, 321]",0.0,0.03,0.0,0.71,0.24,0.0
0.02,"[552, 204, 258, 311]",0.0,0.04,0.0,0.64,0.3,0.0
0.03,"[552, 203, 260, 313]",0.0,0.04,0.0,0.59,0.34,0.0
0.04,"[552, 203, 259, 313]",0.0,0.05,0.0,0.57,0.34,0.0
0.04,"[551, 198, 264, 320]",0.0,0.06,0.0,0.58,0.32,0.0
0.05,"[551, 198, 263, 320]",0.0,0.07,0.0,0.55,0.33,0.0
0.05,"[551, 199, 262, 320]",0.0,0.07,0.0,0.51,0.38,0.0
0.08,"[550, 198, 263, 320]",0.0,0.08,0.0,0.45,0.38,0.0
0.06,"[550, 199, 262, 320]",0.0,0.07,0.0,0.51,0.36,0.0
0.07,"[549, 199, 264, 320]",0.0,0.08,0.0,0.47,0.38,0.0
0.08,"[550, 199, 263, 320]",0.0,0.07,0.0,0.51,0.34,0.0
0.09,"[550, 200, 262, 318]",0.0,0.08,0.0,0.45,0.38,0.0
0.08,"[550, 200, 262, 319]",0.0,0.08,0.0,0.48,0.36,0.0
0.07,"[549, 200, 263, 319]",0.0,0.09,0.0,0.51,0.33,0.0
0.08,"[550, 200, 262, 319]",0.0,0.1,0.0,0.5,0.32,0.0
0.11,"[551, 200, 262, 320]",0.0,0.12,0.0,0.43,0.34,0.0
0.08,"[549, 198, 264, 321]",0.0,0.11,0.0,0.48,0.33,0.0
0.13,"[550, 197, 264, 324]",0.0,0.09,0.0,0.4,0.38,0.0
0.09,"[549, 199, 263, 321]",0.0,0.08,0.0,0.44,0.39,0.0
0.1,"[550, 200, 263, 321]",0.0,0.09,0.0,0.4,0.41,0.0
0.11,"[553, 200, 260, 311]",0.0,0.08,0.0,0.52,0.28,0.0
0.11,"[554, 201, 260, 309]",0.0,0.11,0.0,0.47,0.3,0.0
0.12,"[550, 199, 262, 321]",0.0,0.11,0.0,0.47,0.3,0.0
0.13,"[554, 202, 259, 307]",0.0,0.13,0.0,0.42,0.32,0.0
0.11,"[549, 199, 263, 319]",0.0,0.11,0.0,0.45,0.33,0.0
0.1,"[549, 199, 262, 319]",0.0,0.11,0.0,0.47,0.32,0.0
0.09,"[550, 198, 263, 321]",0.0,0.13,0.0,0.44,0.33,0.0
0.06,"[551, 201, 261, 319]",0.0,0.11,0.0,0.46,0.37,0.0
0.11,"[550, 199, 263, 320]",0.0,0.13,0.0,0.43,0.33,0.0
0.09,"[550, 198, 263, 320]",0.0,0.11,0.0,0.47,0.33,0.0
0.09,"[550, 198, 264, 320]",0.0,0.11,0.0,0.45,0.34,0.0
0.1,"[550, 198, 263, 320]",0.0,0.1,0.0,0.47,0.33,0.0
0.1,"[550, 198, 263, 320]",0.0,0.09,0.0,0.46,0.35,0.0
0.11,"[548, 196, 266, 322]",0.0,0.11,0.0,0.48,0.3,0.0
0.11,"[549, 197, 265, 322]",0.0,0.11,0.0,0.42,0.36,0.0
0.1,"[549, 198, 265, 320]",0.0,0.11,0.0,0.45,0.34,0.0
0.1,"[550, 197, 263, 320]",0.0,0.11,0.0,0.46,0.33,0.0
0.07,"[552, 204, 260, 313]",0.0,0.13,0.0,0.45,0.35,0.0
0.09,"[549, 197, 265, 321]",0.0,0.1,0.0,0.47,0.34,0.0
0.09,"[550, 198, 263, 319]",0.0,0.11,0.0,0.51,0.29,0.0
0.12,"[550, 198, 264, 321]",0.0,0.11,0.0,0.46,0.31,0.0
0.16,"[550, 198, 264, 320]",0.0,0.12,0.0,0.43,0.3,0.0
0.14,"[549, 198, 264, 320]",0.0,0.11,0.0,0.44,0.3,0.0
0.1,"[550, 197, 265, 320]",0.0,0.1,0.0,0.53,0.27,0.0
