,box,angry,disgust,fear,happy,sad,surprise,neutral,timeline
60,"[465, 164, 219, 292]",0.01,0.0,0.02,0.65,0.05,0.0,0.27,2.0000654878847413
61,"[470, 174, 215, 278]",0.02,0.0,0.06,0.51,0.11,0.0,0.29,2.03339991268282
62,"[465, 172, 216, 287]",0.01,0.0,0.04,0.55,0.09,0.0,0.31,2.0667343374808995
63,"[459, 170, 215, 287]",0.01,0.0,0.02,0.74,0.06,0.0,0.16,2.1000687622789784
64,"[454, 172, 217, 289]",0.03,0.0,0.07,0.41,0.17,0.0,0.31,2.1334031870770573
65,"[451, 171, 218, 292]",0.02,0.01,0.06,0.41,0.15,0.0,0.34,2.1667376118751362
66,"[450, 171, 209, 288]",0.02,0.01,0.07,0.56,0.15,0.0,0.19,2.200072036673215
67,"[441, 187, 213, 274]",0.01,0.0,0.04,0.78,0.03,0.0,0.13,2.2334064614712945
68,"[432, 180, 219, 294]",0.03,0.0,0.05,0.36,0.22,0.0,0.33,2.2667408862693734
69,"[425, 184, 219, 293]",0.02,0.0,0.04,0.46,0.13,0.0,0.35,2.3000753110674523
70,"[425, 194, 211, 279]",0.01,0.0,0.03,0.55,0.06,0.0,0.34,2.3334097358655317
71,"[410, 189, 220, 295]",0.01,0.0,0.02,0.72,0.11,0.0,0.14,2.3667441606636106
72,"[407, 194, 216, 289]",0.01,0.0,0.02,0.65,0.15,0.0,0.18,2.4000785854616895
73,"[400, 198, 215, 288]",0.01,0.0,0.01,0.61,0.15,0.0,0.22,2.4334130102597684
74,"[396, 200, 214, 293]",0.0,0.0,0.02,0.68,0.17,0.0,0.12,2.4667474350578473
75,"[394, 204, 217, 292]",0.01,0.0,0.04,0.56,0.25,0.0,0.14,2.5000818598559267
76,"[393, 211, 213, 284]",0.01,0.0,0.04,0.51,0.35,0.0,0.09,2.5334162846540056
77,"[390, 213, 215, 288]",0.02,0.0,0.06,0.33,0.41,0.01,0.17,2.5667507094520845
78,"[389, 216, 215, 291]",0.02,0.0,0.1,0.21,0.37,0.01,0.29,2.600085134250164
79,"[388, 225, 217, 290]",0.05,0.0,0.13,0.2,0.38,0.01,0.23,2.6334195590482428
80,"[386, 230, 217, 291]",0.04,0.0,0.12,0.34,0.23,0.01,0.27,2.6667539838463217
81,"[387, 232, 215, 290]",0.05,0.0,0.14,0.34,0.24,0.02,0.21,2.7000884086444006
82,"[396, 241, 201, 257]",0.01,0.0,0.04,0.77,0.07,0.0,0.11,2.7334228334424795
83,"[379, 231, 219, 297]",0.05,0.0,0.11,0.28,0.32,0.02,0.22,2.766757258240559
84,"[378, 232, 221, 300]",0.04,0.0,0.12,0.24,0.33,0.02,0.25,2.8000916830386378
85,"[375, 229, 221, 303]",0.03,0.0,0.08,0.33,0.28,0.02,0.26,2.8334261078367167
86,"[358, 228, 231, 323]",0.04,0.0,0.07,0.21,0.37,0.01,0.31,2.866760532634796
87,"[352, 229, 231, 322]",0.05,0.0,0.06,0.19,0.35,0.01,0.35,2.900094957432875
88,"[367, 230, 215, 301]",0.06,0.0,0.13,0.16,0.39,0.01,0.25,2.933429382230954
89,"[366, 232, 217, 299]",0.04,0.0,0.09,0.18,0.36,0.01,0.32,2.9667638070290328
90,"[363, 230, 214, 298]",0.07,0.0,0.14,0.15,0.42,0.02,0.22,3.0000982318271117
91,"[361, 232, 215, 295]",0.06,0.0,0.16,0.14,0.37,0.02,0.26,3.033432656625191
92,"[353, 238, 217, 292]",0.05,0.0,0.09,0.22,0.34,0.01,0.29,3.06676708142327
93,"[349, 239, 217, 294]",0.06,0.0,0.12,0.17,0.42,0.01,0.22,3.100101506221349
94,"[346, 241, 218, 296]",0.06,0.0,0.12,0.22,0.4,0.01,0.19,3.133435931019428
95,"[346, 247, 218, 296]",0.04,0.0,0.14,0.17,0.42,0.01,0.21,3.166770355817507
96,"[345, 249, 217, 295]",0.06,0.0,0.21,0.11,0.43,0.01,0.19,3.200104780615586
97,"[340, 249, 216, 298]",0.05,0.0,0.11,0.17,0.41,0.01,0.25,3.233439205413665
98,"[339, 250, 216, 297]",0.05,0.0,0.13,0.15,0.44,0.01,0.21,3.266773630211744
99,"[338, 252, 217, 291]",0.04,0.0,0.14,0.17,0.43,0.01,0.21,3.300108055009823
100,"[329, 254, 220, 300]",0.02,0.0,0.13,0.24,0.28,0.02,0.3,3.333442479807902
101,"[334, 253, 218, 303]",0.05,0.0,0.14,0.31,0.26,0.01,0.24,3.366776904605981
102,"[332, 252, 218, 303]",0.05,0.0,0.13,0.32,0.25,0.01,0.24,3.4001113294040604
103,"[331, 253, 218, 302]",0.04,0.0,0.13,0.36,0.21,0.01,0.25,3.4334457542021393
104,"[317, 256, 221, 295]",0.05,0.0,0.17,0.23,0.3,0.02,0.23,3.466780179000218
105,"[317, 260, 221, 295]",0.04,0.0,0.13,0.37,0.2,0.02,0.24,3.500114603798297
106,"[316, 259, 221, 298]",0.04,0.0,0.16,0.37,0.23,0.02,0.18,3.533449028596376
107,"[340, 286, 240, 344]",0.02,0.0,0.14,0.1,0.56,0.03,0.15,3.5667834533944553
108,"[350, 268, 222, 309]",0.01,0.0,0.1,0.13,0.5,0.02,0.23,3.6001178781925343
109,"[345, 261, 226, 319]",0.02,0.0,0.13,0.13,0.58,0.02,0.12,3.633452302990613
110,"[348, 260, 223, 316]",0.03,0.0,0.14,0.12,0.57,0.02,0.12,3.6667867277886925
111,"[342, 255, 226, 317]",0.02,0.0,0.19,0.06,0.55,0.01,0.16,3.7001211525867714
112,"[342, 250, 220, 309]",0.02,0.0,0.14,0.35,0.26,0.01,0.21,3.7334555773848503
113,"[336, 240, 222, 316]",0.02,0.0,0.08,0.62,0.13,0.01,0.14,3.7667900021829293
114,"[334, 237, 221, 312]",0.01,0.0,0.02,0.78,0.05,0.01,0.13,3.800124426981008
115,"[336, 241, 221, 314]",0.01,0.0,0.02,0.76,0.07,0.01,0.13,3.8334588517790875
116,"[339, 240, 219, 311]",0.01,0.0,0.01,0.8,0.05,0.01,0.13,3.8667932765771664
117,"[338, 237, 221, 317]",0.01,0.0,0.02,0.77,0.06,0.01,0.14,3.9001277013752453
118,"[343, 242, 220, 313]",0.01,0.0,0.03,0.7,0.07,0.02,0.18,3.9334621261733247
119,"[342, 240, 220, 317]",0.01,0.0,0.02,0.75,0.07,0.02,0.13,3.9667965509714036
120,"[338, 235, 227, 328]",0.01,0.0,0.03,0.73,0.06,0.01,0.17,4.0001309757694825
121,"[340, 237, 228, 326]",0.01,0.0,0.02,0.82,0.04,0.01,0.11,4.033465400567562
122,"[331, 235, 246, 362]",0.01,0.0,0.06,0.5,0.16,0.05,0.23,4.06679982536564
123,"[339, 235, 242, 358]",0.01,0.0,0.04,0.53,0.12,0.05,0.25,4.10013425016372
124,"[344, 236, 240, 351]",0.01,0.0,0.02,0.68,0.08,0.02,0.19,4.133468674961799
125,"[347, 235, 235, 341]",0.0,0.0,0.01,0.79,0.05,0.02,0.13,4.1668030997598775
126,"[352, 229, 235, 341]",0.0,0.0,0.01,0.88,0.02,0.01,0.07,4.200137524557957
127,"[356, 224, 232, 332]",0.0,0.0,0.0,0.95,0.01,0.01,0.02,4.233471949356035
128,"[362, 225, 227, 325]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,4.266806374154115
129,"[363, 222, 229, 325]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,4.300140798952194
130,"[364, 222, 229, 325]",0.0,0.0,0.0,0.97,0.0,0.01,0.02,4.3334752237502725
131,"[365, 222, 230, 326]",0.0,0.0,0.0,0.92,0.02,0.01,0.05,4.366809648548352
132,"[367, 218, 229, 324]",0.0,0.0,0.0,0.96,0.01,0.01,0.03,4.40014407334643
133,"[369, 211, 227, 318]",0.0,0.0,0.0,0.97,0.0,0.0,0.02,4.43347849814451
134,"[373, 209, 218, 304]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,4.466812922942589
135,"[368, 197, 224, 309]",0.0,0.0,0.0,0.97,0.0,0.0,0.02,4.5001473477406675
136,"[372, 197, 219, 297]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,4.533481772538747
137,"[374, 198, 217, 292]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.566816197336826
